"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","e4rVHe"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Praktek+dr.+Feilin+Tanita,+Sp.+KJ/data=!4m7!3m6!1s0x2e22c15f4789182d:0x57a424f3a71026d8!8m2!3d-2.1337226!4d106.121132!16s%2Fg%2F11jt26pw71!19sChIJLRiJR1_BIi4R2CYQp_MkpFc?authuser=0&hl=id&rclk=1","Praktek dr. Feilin Tanita, Sp. KJ","5,0","(5)","Psikiater","·","Jl. Tegal","Tutup","· Buka Sen pukul 18.00","·","0821-7871-822","https://instagram.com/psikiater_dr.feilintanita?igshid=YmMyMTA2M2Y=","","Situs Web","","Rute",""
"https://www.google.com/maps/place/Praktik+Psikolog+Pangkalpinang+Desta+Israwanda,+M.Psi.,+Psikolog+%28Psikotest,+Konsultasi+%26+Psikoterapi%29/data=!4m7!3m6!1s0x2e22c11d751f107d:0x5fc5ff700f246c78!8m2!3d-2.1259614!4d106.105827!16s%2Fg%2F11vm6f8hh6!19sChIJfRAfdR3BIi4ReGwkD3D_xV8?authuser=0&hl=id&rclk=1","Praktik Psikolog Pangkalpinang Desta Israwanda, M.Psi., Psikolog (Psikotest, Konsultasi & Psikoterapi)","5,0","(2)","Psikolog","·","Jl. Kejaksaan No.53","Tutup","· Buka Sen pukul 08.00","·","0856-6946-9794","","","Rute","","",""
"https://www.google.com/maps/place/Klinik+Psikologi+RSJ+Babel/data=!4m7!3m6!1s0x2e22f30834a4a9e5:0x849e6bf71f867dda!8m2!3d-1.8965351!4d106.1113101!16s%2Fg%2F11fmql4vhy!19sChIJ5amkNAjzIi4R2n2GH_drnoQ?authuser=0&hl=id&rclk=1","Klinik Psikologi RSJ Babel","","","Rumah Sakit","·","Jl. Jenderal Sudirman No.345","Buka","· Tutup pukul 12.00","","","","","Rute","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Growth+Psychological+Center/data=!4m7!3m6!1s0x2e1715210b905045:0xc7332f8f93b4da12!8m2!3d-2.7130044!4d107.6631144!16s%2Fg%2F11tg497xvs!19sChIJRVCQCyEVFy4REtq0k48vM8c?authuser=0&hl=id&rclk=1","Growth Psychological Center","5,0","(12)","Psikolog Anak","·","Jl. Mualim Jaya No.Dalam","Tutup","· Buka Sen pukul 09.00","·","0877-4922-3123","https://www.instagram.com/growthpsychologicalcenter/profilecard/?igsh=bnhqYTRmNjRoczVi","","Situs Web","","Rute",""
"https://www.google.com/maps/place/dr.+Zikrina+Istifarani,+Sp.KJ,+Dokter+Spesialis+Kedokteran+Jiwa%2FPsikiater/data=!4m7!3m6!1s0x2e22f3bd98459d0f:0xb1a2977242775a97!8m2!3d-1.9013988!4d106.1107038!16s%2Fg%2F11vhq_5hqp!19sChIJD51FmL3zIi4Rl1p3QnKXorE?authuser=0&hl=id&rclk=1","dr. Zikrina Istifarani, Sp.KJ, Dokter Spesialis Kedokteran Jiwa/Psikiater","5,0","(6)","Dokter","·","komp rumah dinas RSJ, Jl. Jenderal Sudirman No.353","Tutup","· Buka Sen pukul 15.00","·","0821-7777-8403","","","Rute","","",""
"https://www.google.com/maps/place/Praktek+Psikolog+Anak+dan+Remaja+Tiara+Erlita+M.psi.,+Psikolog/data=!4m7!3m6!1s0x2e22c781093fe0b3:0xe66cb419216a3e6e!8m2!3d-2.1414054!4d106.1217455!16s%2Fg%2F11kqrqs_cr!19sChIJs-A_CYHHIi4Rbj5qIRm0bOY?authuser=0&hl=id&rclk=1","Praktek Psikolog Anak dan Remaja Tiara Erlita M.psi., Psikolog","4,0","(1)","Psikoterapis","·","V45C+FM5, Jl. Soekarno Hatta","Tutup","· Buka Sel pukul 15.00","·","0821-7737-9368","","","Rute","","",""
"https://www.google.com/maps/place/Praktik+Psikolog/data=!4m7!3m6!1s0x2e22f37a97b91561:0xaf2c76c3fb32d94c!8m2!3d-1.8581199!4d106.1120961!16s%2Fg%2F11h4ym6rqt!19sChIJYRW5l3rzIi4RTNky-8N2LK8?authuser=0&hl=id&rclk=1","Praktik Psikolog","","","Klinik Kesehatan","·","Jl. Batin Tikal No.105","","","","0821-8151-1995","","","Rute","","","Tidak ada ulasan"
"https://www.google.com/maps/place/LEMBAGA+PSIKOLOGI+TERAPAN+PERSONA+Pangkalpinang+Bangka/data=!4m7!3m6!1s0x2e22c791aad97913:0x3cc43c96c0584e0a!8m2!3d-2.1550698!4d106.0900402!16s%2Fg%2F11h4ttgthz!19sChIJE3nZqpHHIi4RCk5YwJY8xDw?authuser=0&hl=id&rclk=1","LEMBAGA PSIKOLOGI TERAPAN PERSONA Pangkalpinang Bangka","5,0","(4)","Institusi Pendidikan","·","·","Tutup","· Buka Sen pukul 10.00","Jl. Sungai Selan No.KM 05","","","","Rute","","",""
"https://www.google.com/maps/place/Biro+Psikologi+Insight+Belitung/data=!4m7!3m6!1s0x2e171776996360ef:0xed80a333b7be426e!8m2!3d-2.7275691!4d107.6331774!16s%2Fg%2F11fr96brz6!19sChIJ72BjmXYXFy4RbkK-tzOjgO0?authuser=0&hl=id&rclk=1","Biro Psikologi Insight Belitung","","","Psikolog","·","7JCM+X7F, Jl. Lettu Mad Daud","Tutup","· Buka Sen pukul 09.00","·","0821-7567-7718","","","Rute","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Pusat+Layanan+Psikologi+Bcaro+Care/data=!4m7!3m6!1s0x2e22f389a39e0839:0xa2afd51d031de845!8m2!3d-1.8959875!4d106.111237!16s%2Fg%2F11n0kd4htx!19sChIJOQieo4nzIi4RRegdAx3Vr6I?authuser=0&hl=id&rclk=1","Pusat Layanan Psikologi Bcaro Care","","","Psikolog","·","Jl. Jenderal Sudirman No.404","Tutup","· Buka Sen pukul 15.30","","","","","Rute","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Rumah+Sakit+Muhaya/data=!4m7!3m6!1s0x2e22c0e1f6042255:0x2241917295e0a63b!8m2!3d-2.1121503!4d106.1124421!16s%2Fg%2F11b6t1tbws!19sChIJVSIE9uHAIi4RO6bglXKRQSI?authuser=0&hl=id&rclk=1","Rumah Sakit Muhaya","3,4","(26)","Klinik Kesehatan Mental","·","·","Buka 24 jam","V4Q6+4XP, Jl. Jendral Sudirman","·","0811-7175-774","https://rsiamuhaya.co.id/","","Situs Web","","Rute",""
"https://www.google.com/maps/place/Biro+Psikologi+Qtha+Bangka/data=!4m7!3m6!1s0x2e22f338e1254399:0x528c2d934a7b5d3c!8m2!3d-2.102988!4d106.1044258!16s%2Fg%2F11m88h5vdv!19sChIJmUMl4TjzIi4RPF17SpMtjFI?authuser=0&hl=id&rclk=1","Biro Psikologi Qtha Bangka","5,0","(2)","Psikolog","·","Jl. Stadion Dalam","Tutup","· Buka Sen pukul 09.00","·","0852-6735-9177","https://www.instagram.com/psikologiqthabangka?igsh=YzBjem84cTNxY2sy","","Situs Web","","Rute",""
"https://www.google.com/maps/place/BIRO+PSIKOLOGI+SAYANG+JIWA/data=!4m7!3m6!1s0x2e22c166e0d2eb87:0x941ffad23767807c!8m2!3d-2.1043551!4d106.121207!16s%2Fg%2F11k76tg6hh!19sChIJh-vS4GbBIi4RfIBnN9L6H5Q?authuser=0&hl=id&rclk=1","BIRO PSIKOLOGI SAYANG JIWA","","","Konsultan Kesehatan","·","Jalan Tiram IV No.110","Tutup","· Buka Sab pukul 09.00","·","0819-1023-1223","","","Rute","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Praktek+Psikolog+Klinis/data=!4m7!3m6!1s0x2e171679e28dea6d:0x409d594060aa7abb!8m2!3d-2.7276916!4d107.6332959!16s%2Fg%2F11k5t5_294!19sChIJbeqN4nkWFy4Ru3qqYEBZnUA?authuser=0&hl=id&rclk=1","Praktek Psikolog Klinis","","","Klinik Medis","","","","","","","","","Rute","","","Tidak ada ulasan"
"https://www.google.com/maps/place/Rumah+Sakit/data=!4m7!3m6!1s0x2e22f262a95edfb1:0x6e94d7e3399932c6!8m2!3d-1.9005156!4d106.1108643!16s%2Fg%2F11b6j733hm!19sChIJsd9eqWLyIi4RxjKZOePXlG4?authuser=0&hl=id&rclk=1","Rumah Sakit","3,9","(29)","Rumah Sakit Jiwa","·","","Buka 24 jam","·","","(0717) 92068","http://rsj.babelprov.go.id/","","Situs Web","","Rute",""
"","","","","","","","","","","","","","","","",""